companyName,Settore,Nazionalità
Apple,Tecnologia,USA
Microsoft,Tecnologia,USA
Google,Tecnologia,USA
Amazon,E-commerce,USA
Meta,Social Media,USA
Tesla,Automotive,USA
Samsung,Elettronica,Corea del Sud
Sony,Elettronica,Giappone
Nike,Abbigliamento,USA
Adidas,Abbigliamento,Germania
Coca-Cola,Bevande,USA
Pepsi,Bevande,USA
BMW,Automotive,Germania
Mercedes-Benz,Automotive,Germania
Toyota,Automotive,Giappone
Honda,Automotive,Giappone
Xiaomi,Elettronica,Cina
Huawei,Tecnologia,Cina
Lenovo,Tecnologia,Cina
Dell,Tecnologia,USA
HP,Tecnologia,USA
Intel,Semiconduttori,USA
AMD,Semiconduttori,USA
NVIDIA,Semiconduttori,USA
Alibaba,E-commerce,Cina
Netflix,Intrattenimento,USA
Spotify,Streaming,Svezia
PayPal,Fintech,USA
Visa,Servizi finanziari,USA
Mastercard,Servizi finanziari,USA
IBM,Tecnologia,USA
Oracle,Software,USA
SAP,Software,Germania
Salesforce,Software,USA
Tencent,Tecnologia,Cina
Baidu,Tecnologia,Cina
JD.com,E-commerce,Cina
Airbnb,Hospitality,USA
Uber,Trasporti,USA
Lyft,Trasporti,USA
Booking.com,Viaggi,Paesi Bassi
Expedia,Viaggi,USA
L'Oréal,Cosmetica,Francia
Estée Lauder,Cosmetica,USA
Unilever,Beni di consumo,Regno Unito
P&G,Beni di consumo,USA
Nestlé,Alimentare,Svizzera
Danone,Alimentare,Francia
McDonald's,Ristorazione,USA
Starbucks,Ristorazione,USA
Zara,Abbigliamento,Spagna
H&M,Abbigliamento,Svezia
IKEA,Arredamento,Svezia
Siemens,Industria,Germania
General Electric,Industria,USA
Johnson & Johnson,Farmaceutica,USA
Pfizer,Farmaceutica,USA
Novartis,Farmaceutica,Svizzera
Roche,Farmaceutica,Svizzera
AstraZeneca,Farmaceutica,Regno Unito
Bayer,Farmaceutica,Germania
Goldman Sachs,Banche,USA
JPMorgan Chase,Banche,USA
HSBC,Banche,Regno Unito
BNP Paribas,Banche,Francia
Intesa Sanpaolo,Banche,Italia
UniCredit,Banche,Italia
Santander,Banche,Spagna
Deutsche Bank,Banche,Germania
American Express,Servizi finanziari,USA
Philips,Elettronica,Paesi Bassi
Canon,Elettronica,Giappone
Shell,Energia,Regno Unito
ExxonMobil,Energia,USA
BP,Energia,Regno Unito
Total,Energia,Francia
Volkswagen,Automotive,Germania
Ford,Automotive,USA
General Motors,Automotive,USA
Ferrari,Automotive,Italia
Lamborghini,Automotive,Italia
Prada,Moda,Italia
Gucci,Moda,Italia
Louis Vuitton,Moda,Francia
Chanel,Moda,Francia
Hermès,Moda,Francia
Rolex,Orologi,Svizzera
Omega,Orologi,Svizzera
Airbus,Aerospaziale,Europa
Boeing,Aerospaziale,USA
SpaceX,Aerospaziale,USA
Red Bull,Bevande,Austria
Heineken,Bevande,Paesi Bassi
Carlsberg,Bevande,Danimarca
Nintendo,Videogiochi,Giappone
Electronic Arts,Videogiochi,USA
Activision Blizzard,Videogiochi,USA
Disney,Intrattenimento,USA
Warner Bros,Intrattenimento,USA
Universal,Intrattenimento,USA
TikTok,Social Media,Cina
